Data e Ora;Temperatura [C];TemperaturaDiRugiada [C];Pressione [hPa];Direzione Vento [deg];Velocita' vento [Kms];Umidita' [%];Precipitazione [mm];Radiazione Solare [Wm2]
01-06-17 00:29;14.7;13.1;1013.8;306;1.6;90;0;0
01-06-17 00:59;14.7;13.1;1013.8;0;0;90;0;0
01-06-17 01:29;14.6;13;1013.8;0;0;90;0;0
01-06-17 01:59;14.6;13;1013.4;0;0;90;0;0
01-06-17 02:29;14.6;13;1013.4;0;0;90;0;0
01-06-17 02:59;14.6;13.2;1013.4;0;0;91;0;0
01-06-17 03:29;14.6;13;1013.4;42;1.6;90;0;0
01-06-17 03:59;14.7;13.1;1013.1;349;1.6;90;0;0
01-06-17 04:14;14.7;13.1;1013.1;337;1.6;90;0;0
01-06-17 05:00;14.6;13;1012.8;338;3.2;90;0;0
01-06-17 05:59;14.5;12.9;1012.8;338;1.6;90;0;7
01-06-17 06:59;14.6;13;1013.1;0;0;90;0;49
01-06-17 07:14;14.6;13;1013.1;337;1.6;90;0;74
01-06-17 07:29;14.7;13.1;1013.1;337;0;90;0;70
01-06-17 07:44;14.7;12.9;1013.1;336;1.6;89;0;100
01-06-17 08:14;15.2;13.2;1013.1;337;1.6;88;0;155
01-06-17 08:29;15.7;13.6;1013.1;325;0;87;0;209
01-06-17 08:44;15.8;13.3;1013.4;43;1.6;85;0;162
01-06-17 08:59;15.9;13.2;1013.4;89;1.6;84;0;236
01-06-17 09:14;16.4;13.3;1013.4;308;1.6;82;0;223
01-06-17 09:29;16.6;13.3;1013.4;327;1.6;81;0;294
01-06-17 09:44;17.4;13.9;1013.4;84;1.6;80;0;320
01-06-17 09:59;17.3;13.4;1013.4;75;3.2;78;0;257
01-06-17 10:14;17.2;13.7;1013.4;93;4.8;80;0;432
01-06-17 10:29;17.6;13.9;1013.4;80;4.8;79;0;925
01-06-17 10:44;17.9;13.8;1013.4;109;4.8;77;0;422
01-06-17 10:59;17.6;13.7;1013.4;99;6.4;78;0;633
01-06-17 11:29;18;13.7;1013.8;108;6.4;76;0;615
01-06-17 11:44;18.7;13.9;1013.8;99;4.8;74;0;489
01-06-17 11:59;18.7;13.8;1013.4;104;4.8;73;0;394
01-06-17 12:14;18.8;13.8;1013.8;159;6.4;73;0;357
01-06-17 12:29;18.1;13.8;1013.8;118;6.4;76;0;329
01-06-17 12:59;18.9;13.3;1013.4;138;6.4;70;0;1273
01-06-17 13:14;19.8;12.6;1013.4;135;8;63;0;1000
01-06-17 13:44;21.1;13.3;1013.1;197;4.8;61;0;1046
01-06-17 14:14;20.9;12.8;1013.1;114;4.8;60;0;1260
01-06-17 14:29;21.3;13.4;1013.1;145;8;61;0;1271
01-06-17 14:44;21.8;13.4;1013.1;205;4.8;59;0;1294
01-06-17 14:59;21.6;13;1012.8;211;3.2;58;0;425
01-06-17 15:14;22.2;13.3;1012.8;257;4.8;57;0;427
01-06-17 15:29;21.9;12.7;1012.8;110;1.6;56;0;267
01-06-17 15:44;21.5;13.4;1012.4;280;3.2;60;0;207
01-06-17 15:59;21.2;13.4;1012.4;285;4.8;61;0;304
01-06-17 16:14;21.3;13.7;1012.1;269;4.8;62;0;425
01-06-17 16:29;21.9;13.3;1012.1;307;4.8;58;0;882
01-06-17 16:44;21.9;13.3;1012.1;300;3.2;58;0;225
01-06-17 17:14;21.7;13.3;1012.1;314;3.2;59;0;682
01-06-17 17:29;22.2;13.3;1011.7;226;1.6;57;0;717
01-06-17 17:44;22.4;13.7;1011.7;109;1.6;58;0;856
01-06-17 18:14;21.7;13.3;1011.4;113;6.4;59;0;448
01-06-17 19:14;20.8;13;1011.4;162;4.8;61;0;322
01-06-17 19:29;20.8;13;1011.4;128;3.2;61;0;262
01-06-17 19:44;20.8;13;1011.4;114;4.8;61;0;69
01-06-17 19:59;20.5;12.7;1011.4;115;6.4;61;0;56
01-06-17 20:14;20.2;12.7;1011.4;114;8;62;0;37
01-06-17 20:29;20.1;12.6;1011.4;118;3.2;62;0;28
01-06-17 20:44;19.9;12.7;1011.7;119;3.2;63;0;16
01-06-17 21:14;19.6;13.1;1011.7;149;1.6;66;0;0
01-06-17 21:29;19.3;12.8;1012.1;175;3.2;66;0;0
01-06-17 22:29;18.9;12.9;1012.4;110;1.6;68;0;0
01-06-17 22:44;18.7;12.9;1012.4;181;1.6;69;0;0
01-06-17 22:59;18.6;13;1012.4;148;1.6;70;0;0
01-06-17 23:29;18.3;12.7;1012.4;148;0;70;0;0
01-06-17 23:44;18.3;12.9;1012.8;0;0;71;0;0
01-06-17 23:59;18.2;13.1;1012.8;227;1.6;72;0;0
02-06-17 00:14;18;13.1;1012.8;206;1.6;73;0;0
02-06-17 00:29;17.8;12.9;1012.8;239;3.2;73;0;0
02-06-17 00:44;17.4;12.7;1012.8;260;3.2;74;0;0
02-06-17 01:14;17.1;12.4;1012.4;201;3.2;74;0;0
02-06-17 01:29;16.9;12.2;1012.4;204;3.2;74;0;0
02-06-17 01:44;16.9;12.2;1012.4;204;4.8;74;0;0
02-06-17 01:59;16.8;12.1;1012.1;205;3.2;74;0;0
02-06-17 02:14;16.8;12.1;1012.1;191;1.6;74;0;0
02-06-17 02:29;16.8;12.3;1012.1;0;0;75;0;0
02-06-17 02:44;16.7;12.2;1012.1;0;0;75;0;0
02-06-17 02:59;16.7;12.2;1011.7;0;0;75;0;0
02-06-17 03:14;16.7;12.4;1011.7;322;1.6;76;0;0
02-06-17 03:29;16.7;12.7;1011.7;323;0;77;0;0
02-06-17 03:44;16.6;12.7;1011.7;323;1.6;78;0;0
02-06-17 03:59;16.7;13.2;1011.4;323;1.6;80;0;0
02-06-17 04:29;16.6;13.7;1011.4;0;0;83;0;0
02-06-17 05:14;16.2;13.7;1011.1;0;0;85;0;0
02-06-17 05:29;16.2;13.7;1011.1;317;0;85;0;0
02-06-17 05:59;16;13.5;1011.1;301;1.6;85;0;5
02-06-17 06:14;15.9;13.4;1011.1;298;1.6;85;0;9
